feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
id_34,2.968212779759974,2.987707881417209,0.11660611269015665,0.10468482717272788,0.10468482717272788
C2,29.049626986701266,13.875632682574114,97.82936727000559,-0.10425552856673906,0.10425552856673906
D4,60.2912747324035,73.14389009399855,141.72480101510914,0.10325781904180227,0.10325781904180227
V335,7.739215050275705,14.490238611713666,91.97863441198311,0.10320147290380105,0.10320147290380105
V315,58.028783137714015,80.00653267665264,235.6090524585504,0.10277624660581326,0.10277624660581326
V323,0.2990593577684074,0.45770065075921906,2.0987342833112606,0.10196599574258851,0.10196599574258851
V8,1.0207590009730783,1.0375994215473607,0.2186076683192996,0.10160166356238286,0.10160166356238286
V164,14.829711320142717,6.272595806218366,57.09254573176698,-0.09874236551455358,0.09874236551455358
V20,0.9493999351281219,0.9125090383224873,0.4472245925776422,-0.09807070675168848,0.09807070675168848
V306,96.23415778489844,128.37902259033655,403.8457324072218,0.09748280771459754,0.09748280771459754
V320,30.90506368668637,44.891238075361166,172.4974369812245,0.09707417492015576,0.09707417492015576
V136,28.19609395830499,41.319038308364966,172.37103266347793,0.09377261045760502,0.09377261045760502
V67,1.0950373013298735,1.0578452639190166,0.3011944130416837,-0.09278891796332678,0.09278891796332678
V66,1.0512487836522868,1.0209689081706435,0.23816699571080935,-0.09255022358701348,0.09255022358701348
V299,0.12552708400908205,0.16775126536514823,0.5195746524010939,0.09205534572648971,0.09205534572648971
V212,77.69811400553641,49.72649569797585,404.03005075356003,-0.09177418026677198,0.09177418026677198
id_26,149.35679532922478,149.01518438177874,1.888092232346084,-0.08987596613465224,0.08987596613465224
V55,1.2169964320467077,1.2928416485900216,1.1144359713509722,0.0892079477883601,0.0892079477883601
V129,16.008092759609067,24.805567597274063,125.12429463190651,0.08873872976647831,0.08873872976647831
V309,19.640394091335473,28.830967300453654,123.78230749854183,0.08734765641954087,0.08734765641954087
V308,210.41107207577298,268.54278085512783,697.1260552008321,0.08645638195558002,0.08645638195558002
V290,1.2581900746026597,1.339117859725235,1.2344411497071663,0.08645566044903691,0.08645566044903691
C1,23.39474537787869,12.537960954446854,89.43391579561315,-0.08627680355140166,0.08627680355140166
V78,1.93804735647097,1.6738973246565438,3.2879123104752797,-0.08532912039409088,0.08532912039409088
V9,1.0369769704832954,1.0549530007230659,0.25208762509738747,0.08322501499737264,0.08322501499737264
